Date,Portfolio_Value,Benchmark_Value,Portfolio_Drawdown,Benchmark_Drawdown
2019-09-10,11627.651530941961,12027.324064325023,-0.012560058722025168,-0.012847140593628747
2019-09-11,11684.594914759984,12112.847942279748,-0.007724329733775832,-0.005827695518481304
2019-09-12,11709.330202064677,12154.81016050654,-0.005623767072550189,-0.0023836107421776795
2019-09-13,11661.04875739727,12146.732708911915,-0.009723909458167278,-0.0030465744567749983
2019-09-16,11731.537158131108,12109.220637446802,-0.003737914599602619,-0.006125409649956479
2019-09-17,11736.335036748698,12139.882039829221,-0.0033304705884190395,-0.0036088489525531323
2019-09-18,11704.452518205648,12147.140729703024,-0.0060379882805486895,-0.0030130858030656855
2019-09-19,11731.351164352856,12146.33284853663,-0.0037537095075413753,-0.0030793933374101217
2019-09-20,11764.354204327774,12088.946084336674,-0.0009510352299276189,-0.007789460852768447
2019-09-23,11793.63908592161,12086.10761969987,0.0,-0.00802243025373911
2019-09-24,11767.257208366513,11991.269987153466,-0.00223695819101247,-0.015806309664222647
2019-09-25,11698.60131806018,12062.197601340973,-0.008058392084838235,-0.009984865361100444
2019-09-26,11691.423025883723,12037.066240747363,-0.008667050033768175,-0.01204754317189802
2019-09-27,11635.329520304213,11972.220856485963,-0.013423300854303382,-0.017369783277061276
2019-09-30,11576.543924934474,12027.745685809166,-0.018407817926723552,-0.012812535651462603
2019-10-01,11537.9652957891,11884.677275615257,-0.021678956619735405,-0.024554997188069364
2019-10-02,11493.240305961619,11674.74241817466,-0.025471254272871984,-0.04178557929454602
2019-10-03,11562.266811026317,11770.390652026064,-0.01961839540871559,-0.03393516909202665
2019-10-04,11638.29975328233,11929.665648042763,-0.01317145043252278,-0.02086253823008887
2019-10-07,11572.617858889571,11878.193825244558,-0.01874071483973747,-0.02508713189550928
2019-10-08,11533.850929269913,11693.787468634251,-0.022027819806849386,-0.040222440568244484
2019-10-09,11588.747717179082,11804.841207488567,-0.01737304043729071,-0.03110761043051019
2019-10-10,11586.233125154815,11884.677275615257,-0.01758625639259906,-0.024554997188069364
2019-10-11,11625.35302812853,12007.887313905967,-0.014269222295768592,-0.014442428427491216
2019-10-14,11632.162299760927,11994.51375244277,-0.013691854141394118,-0.015540074867234216
2019-10-15,11646.036313532733,12113.264123486675,-0.012515456112700104,-0.0057935370916981
2019-10-16,11667.611371117022,12093.806972028067,-0.010686075255179776,-0.007390499358245744
2019-10-17,11695.571414639628,12129.47342944807,-0.008315302051175054,-0.004463144508675833
2019-10-18,11670.329237046568,12076.380404039868,-0.010455623406539577,-0.00882079975816731
2019-10-21,11683.212242602427,12158.24433549836,-0.009363254421699435,-0.002101747906791649
2019-10-22,11681.330869246607,12118.531671899873,-0.009522778834996585,-0.005361198572311783
2019-10-23,11720.520112104217,12153.79010852877,-0.00619986530745007,-0.0024673323764508866
2019-10-24,11766.717802520092,12173.64848043197,-0.0022826952058974414,-0.000837439600422272
2019-10-25,11800.90114133997,12223.503180828082,0.0,0.0
2019-10-28,11782.44042986426,12292.402931683788,-0.0015643476082550188,0.0
2019-10-29,11768.031275576945,12288.753865741985,-0.0027853691315045184,-0.0002968553798702529
2019-10-30,11807.429314306979,12326.442746216577,0.0,0.0
2019-10-31,11836.024196448749,12293.617473571983,0.0,-0.0026629963989139313
2019-11-01,11909.043847893563,12407.50015657798,0.0,0.0
2019-11-04,11920.030412136051,12457.350776766181,0.0,0.0
2019-11-05,11834.292555118009,12443.574634789089,-0.007192754888506911,-0.0011058644991185221
2019-11-06,11845.415053661014,12446.413099425894,-0.006259661753804731,-0.0008780099024494726
2019-11-07,11784.327318901393,12490.17876954938,-0.01138445864169075,0.0
